equate	instrument	domain	item	label	(0,6]	(6,12]	(12,18]	(18,24]	(24,30]	(30,36]	(36,42]	(42,48]	(48,54]	(54,60]	<NA>
EXP14	Griffiths	Expressive	gh17	(Hearing and Speech) Says Mama or Dada, etc. (one word clear)											
	Griffiths		gh18												
COG31	Griffiths	Cognitive	gh19	(Hearing and Speech) Rings the bell											
	Griffiths		gh2_1	Looks at pictures for a sew seconds											
	Griffiths		gh2_10	Enjoys pictre book											
	Griffiths		gh2_11	Uses 6 or 7 clear words											
	Griffiths		gh2_12	Two objects in box identified											
EXP23	Griffiths	Expressive	gh2_13	9+  clear words											
REC11	Griffiths	Receptive	gh2_14	(Hearing and Speech)  Four objects in box identified											
EXP22	Griffiths	Expressive	gh2_15	(Hearing and Speech) Picture vocabulary (1)											
	Griffiths		gh2_16	Uses 12+ clear words											
EXP26	Griffiths	Expressive	gh2_17	Uses word combinations											
	Griffiths		gh2_18	Picture vocabulary (2)											
	Griffiths		gh2_19	Uses 20+ clear words											
	Griffiths		gh2_2												
	Griffiths		gh2_20	Eight objects in box identified											
	Griffiths		gh2_21	Listens to stories											
EXP27	Griffiths	Expressive	gh2_22	(Hearing and Speech) Names 4 objects in box											
EXP28	Griffiths	Expressive	gh2_23	(Hearing and Speech) Picture vocabulary (4)											
EXP29	Griffiths	Expressive	gh2_24	(Hearing and Speech) Uses sentences of 4+ syllables											
REC49	Griffiths	Receptive	gh2_3	(Hearing and Speech)Knows own name.											
	Griffiths		gh2_4												
COG32	Griffiths	Cognitive	gh2_5	(Hearing and Speech) Looks at pictures with interest											
	Griffiths		gh2_6												
REC7	Griffiths	Receptive	gh2_7	(Hearing and Speech) One object in box identified											
	Griffiths		gh2_8	Uses 5 clear words											
	Griffiths		gh2_9												
	Griffiths		gh20												
EXP18	Griffiths	Expressive	gh21	says 2 clear words											
	Griffiths		gh22												
	Griffiths		gh23												
	Griffiths		gh24												
	Griffiths		gh3_1	Names 12 of 18 objects in box											
	Griffiths		gh3_2	Picture vocabulary (12)											
	Griffiths		gh3_3	Defines by use (2+) - cup, knife, chair, coat, car, house, pencil, watch, key											
	Griffiths		gh3_4	Repeats one six-syllable sentence											
	Griffiths		gh3_5	Uses 2 descriptive words											
	Griffiths		gh3_6	Talks well in sentences of 6+ syllables (record).											
	Griffiths		gh4	Searches for sound with eyes											
	Griffiths		gh4_1												
	Griffiths		gh4_2												
	Griffiths		gh4_3												
EXP42	Griffiths	Expressive	gh4_4	(Hearing and Speech) Comprehension 2+ items											
	Griffiths		gh4_5												
EXP41	Griffiths	Expressive	gh4_6	(Hearing and Speech) Knows 6+ colours											
EXP8	Griffiths	Expressive	gh5	(Hearing and Speech) Makes 2 + different speech sounds											
EXP43	Griffiths	Expressive	gh5_1	(Hearing and Speech) Defines by use: 6+.											
	Griffiths		gh5_2												
	Griffiths		gh5_3												
	Griffiths		gh5_4												
EXP46	Griffiths	Expressive	gh5_5	(Hearing and Speech)  Picture description: 1+ sentences. 											
	Griffiths		gh5_6												
	Griffiths		gh6												
	Griffiths		gh6_1												
	Griffiths		gh6_2												
	Griffiths		gh6_3												
	Griffiths		gh6_4												
	Griffiths		gh6_5												
	Griffiths		gh6_6												
	Griffiths		gh7												
	Griffiths		gh8	Listens to tuning fork											
REC46	Griffiths	Receptive	gh9	(Hearing and Speech)Turns head deliberately to bell											
	Griffiths		gp3_1												
	Griffiths		gp3_2												
	Griffiths		gp3_3												
	Griffiths		gp3_4												
	Griffiths		gp3_5												
COG73	Griffiths	Cognitive	gp3_6	practical reasoning (PR) knows big and little											
REC25	Griffiths	Receptive	gp3_6	PR Knows big and little											
	Griffiths		gp4_1												
	Griffiths		gp4_2												
	Griffiths		gp4_3												
COG79	Griffiths	Cognitive	gp4_4	PR counts 4 bricks correctly											
	Griffiths		gp4_5												
COG74	Griffiths	Cognitive	gp4_6	PR compares 2 weights: which is heavier											
	Griffiths		gp5_1												
	Griffiths		gp5_2												
	Griffiths		gp5_3												
	Griffiths		gp5_4												
	Griffiths		gp5_5												
	Griffiths		gp5_6												
	McCarthy		m1												
	McCarthy		m10												
	McCarthy		m100												
	McCarthy		m101												
	McCarthy		m11												
	McCarthy		m12												
	McCarthy		m13												
	McCarthy		m14												
	McCarthy		m15												
	McCarthy		m16												
	McCarthy		m17												
	McCarthy		m18												
	McCarthy		m19												
	McCarthy		m2												
	McCarthy		m20												
	McCarthy		m21												
	McCarthy		m22												
	McCarthy		m23												
	McCarthy		m24												
	McCarthy		m25												
	McCarthy		m26												
	McCarthy		m27												
	McCarthy		m28												
	McCarthy		m29												
	McCarthy		m3												
	McCarthy		m30												
	McCarthy		m31												
	McCarthy		m32												
	McCarthy		m33												
	McCarthy		m34												
	McCarthy		m35												
	McCarthy		m36												
	McCarthy		m37												
	McCarthy		m38												
	McCarthy		m39												
	McCarthy		m4												
	McCarthy		m40												
	McCarthy		m41												
	McCarthy		m42												
	McCarthy		m43												
	McCarthy		m44												
	McCarthy		m45												
	McCarthy		m46												
	McCarthy		m47												
	McCarthy		m48												
	McCarthy		m49												
	McCarthy		m5												
	McCarthy		m50												
	McCarthy		m51												
	McCarthy		m52												
	McCarthy		m53												
	McCarthy		m54												
	McCarthy		m55												
	McCarthy		m56												
	McCarthy		m57												
	McCarthy		m58												
	McCarthy		m59												
	McCarthy		m6												
	McCarthy		m60												
	McCarthy		m61												
	McCarthy		m62												
	McCarthy		m63												
	McCarthy		m64												
	McCarthy		m65												
	McCarthy		m66												
	McCarthy		m67												
	McCarthy		m68												
	McCarthy		m69												
	McCarthy		m7												
	McCarthy		m70												
	McCarthy		m71												
	McCarthy		m72												
	McCarthy		m73												
	McCarthy		m74												
	McCarthy		m75												
	McCarthy		m76												
	McCarthy		m77												
	McCarthy		m78												
	McCarthy		m79												
	McCarthy		m8												
	McCarthy		m80												
	McCarthy		m81												
	McCarthy		m82												
	McCarthy		m83												
	McCarthy		m84												
	McCarthy		m85												
	McCarthy		m86												
	McCarthy		m87												
	McCarthy		m88												
	McCarthy		m89												
	McCarthy		m9												
	McCarthy		m90												
	McCarthy		m91												
	McCarthy		m92												
	McCarthy		m93												
	McCarthy		m94												
	McCarthy		m95												
	McCarthy		m96												
	McCarthy		m97												
	McCarthy		m98												
	McCarthy		m99												
GM56	McCarthy	Gross Motor	mg1	Child walks in a straight line											
GM63	McCarthy	Gross Motor	mg2	Walks backwards for 5 steps											
GM62	McCarthy	Gross Motor	mg3	Walks on tiptoes for 5 steps or more											
GM60	McCarthy	Gross Motor	mg4a	Balances on either foot for 3-9 secs											
GM61	McCarthy	Gross Motor	mg4a	Balances on either foot for 3-9 secs											
GM69	McCarthy	Gross Motor	mg4b	Balances on either foot for 10 secs 											
GM59	McCarthy	Gross Motor	mg5	Jumps with feet together;  2-5 jumps											
COG3	Dutch	Cognitive	n1	Eyes Fixate											
EXP5	Dutch	Expressive	n10	Vocalizes in response											
	Dutch	Gross Motor	n11	Stays suspended when lifted under armpits											
GM12	Dutch	Gross Motor	n12	Lifts head to 45 degrees in prone position											
	Dutch	Fine Motor	n13	Plays with hands in midline											
FM4	Dutch	Fine Motor	n14	Supine position: grasps object within reach											
GM23	Dutch	Gross Motor	n15	Reactions if pulled to sitting											
	Dutch	Receptive	n16	Turns head to sound											
	Dutch	Gross Motor	n17	Flexes or stomps legs while being swung											
	Dutch	Gross Motor	n18	Looks around to side with angle face-table 90 degrees											
FM11	Dutch	Fine Motor	n19	Passes cube from hand to hand											
	Dutch	Receptive	n2	Reacts when spoken to											
COG30	Dutch	Cognitive	n20	Holds cube, grasps another one with other hand											
GM24	Dutch	Gross Motor	n21	Plays with both feet											
GM25	Dutch	Gross Motor	n22	Rolls over, back and forth											
	Dutch	Gross Motor	n23	Balances head well while sitting											
	Dutch	Gross Motor	n24	Sits on buttocks while legs stretched											
EXP10	Dutch	Expressive	n25	Says "dada", "baba", or "gaga"											
GM26	Dutch	Gross Motor	n26	Sits in stable position, without support											
FM19	Dutch	Fine Motor	n27	Picks up pellet between thumb and index finger											
GM30	Dutch	Gross Motor	n28	Crawls forward, abdomen on the floor											
GM35	Dutch	Gross Motor	n29	Pulls up to standing position											
GM2	Dutch	Gross Motor	n3	Moves arms equally well											
	Dutch	Expressive	n30	Waves "bye bye" 											
EXP12	Dutch	Expressive	n31	Jabbering while playing (M; can ask parents)											
	Dutch	Fine Motor	n32	Puts cube in and out of a box											
	Dutch	Cognitive	n33	Plays "give and take"											
	Dutch	Gross Motor	n34	Crawls, with belly lifted off the ground (M; can ask parents)											
GM42	Dutch	Gross Motor	n35	Walks along											
	Dutch	Cognitive	n36	Understands some simple words (M; can ask parents)											
EXP18	Dutch	Expressive	n37	Says 2 "sound-words" with comprehension											
FM25	Dutch	Fine Motor	n38	Builds tower of two cubes											
	Dutch	Cognitive	n39	Explores environment											
GM1	Dutch	Gross Motor	n4	Moves legs equally well											
	Dutch	Cognitive	n40	Says 3 "words"											
	Dutch	Cognitive	n41	Identfies (point / graps) two mentioned objects											
GM43	Dutch	Gross Motor	n42	Walks on his/her own											
GM44	Dutch	Gross Motor	n43	Throws ball without falling down											
	Dutch	Fine Motor	n44	Builds tower of three cubes											
	Dutch	Cognitive	n45	Imitates others 											
	Dutch	Fine Motor	n46	Drink from cup by him/herself (M; can ask parents)											
EXP26	Dutch	Expressive	n47	Says "sentences"of 2 words											
	Dutch	Cognitive	n48	Puts ball in box when asked											
GM45	Dutch	Gross Motor	n49	Squats or bends to pick up things											
	Dutch	Gross Motor	n5	Lifts chin off table for a moment											
	Dutch	Gross Motor	n50	Walks well without help											
FM32	Dutch	Fine Motor	n51	Builds tower of 6 cubes											
	Dutch	Fine Motor	n52	Places round form in form-box											
	Dutch	Fine Motor	n53	Undresses himself											
	Dutch	Fine Motor	n54	Eats with spoon without help (M; can ask parents)											
	Dutch	Cognitive	n55	Refers to self using "me" or "I"											
	Dutch	Cognitive	n56	Points at 5 pictures in the book											
GM55	Dutch	Gross Motor	n57	Kicks ball											
	Dutch	Cognitive	n6	Smiles in response											
	Dutch	Fine Motor	n7	Follows with eyes and head											
FM2	Dutch	Fine Motor	n8	Hands occasionally open											
COG18	Dutch	Cognitive	n9	Watches own hands											
COG47	Pegboard	Cognitive	peg1	Places 2 or more pegs in 30 sec with either hand											
COG62	Pegboard	Cognitive	peg2	Places  6 or more pegs in 30 sec with either hand											
GM14	SAGriffiths	Gross Motor	sagl8	Rolls from side to back.											
